Total number of projects,Transaction Time,Current Time MS
189,3,1617584328991
190,4,1617584328994
191,4,1617584328998
192,3,1617584329002
193,3,1617584329005
194,3,1617584329008
195,3,1617584329011
196,3,1617584329014
197,3,1617584329017
198,3,1617584329020
199,3,1617584329023
200,3,1617584329026
201,3,1617584329029
202,3,1617584329032
203,3,1617584329035
204,4,1617584329038
205,3,1617584329042
206,3,1617584329045
207,4,1617584329048
208,3,1617584329052
209,3,1617584329055
210,3,1617584329058
211,3,1617584329061
212,4,1617584329064
213,3,1617584329068
214,4,1617584329071
215,4,1617584329075
216,6,1617584329079
217,5,1617584329085
218,4,1617584329090
219,4,1617584329094
220,5,1617584329098
221,5,1617584329103
222,8,1617584329108
223,4,1617584329116
224,5,1617584329120
225,5,1617584329126
226,5,1617584329131
227,6,1617584329136
228,3,1617584329142
229,4,1617584329145
230,4,1617584329149
231,4,1617584329153
232,4,1617584329157
233,4,1617584329161
234,3,1617584329165
235,4,1617584329168
236,4,1617584329172
237,4,1617584329176
238,3,1617584329180
239,4,1617584329183
240,8,1617584329187
241,6,1617584329195
242,4,1617584329201
243,4,1617584329205
244,3,1617584329209
245,4,1617584329212
246,4,1617584329216
247,3,1617584329220
248,4,1617584329223
249,5,1617584329227
250,4,1617584329232
251,4,1617584329236
252,4,1617584329240
253,4,1617584329244
254,3,1617584329248
255,4,1617584329251
256,3,1617584329255
257,4,1617584329258
258,3,1617584329262
259,3,1617584329265
260,4,1617584329268
261,5,1617584329272
262,4,1617584329277
263,3,1617584329281
264,3,1617584329285
265,4,1617584329288
266,3,1617584329292
267,3,1617584329295
268,7,1617584329298
269,4,1617584329305
270,3,1617584329309
271,3,1617584329313
272,4,1617584329316
273,3,1617584329320
274,4,1617584329323
275,3,1617584329327
276,4,1617584329330
277,3,1617584329334
278,3,1617584329337
279,4,1617584329340
280,3,1617584329344
281,3,1617584329347
282,3,1617584329350
283,4,1617584329353
284,3,1617584329357
285,3,1617584329360
286,3,1617584329363
287,3,1617584329366
288,3,1617584329369
289,3,1617584329372
290,4,1617584329375
291,3,1617584329379
292,3,1617584329382
293,3,1617584329385
294,3,1617584329388
295,3,1617584329391
296,3,1617584329394
297,3,1617584329397
298,3,1617584329400
299,3,1617584329403
300,3,1617584329406
301,3,1617584329409
302,3,1617584329412
303,3,1617584329415
304,3,1617584329418
305,3,1617584329421
306,3,1617584329424
307,3,1617584329427
308,2,1617584329431
309,3,1617584329434
310,3,1617584329437
311,3,1617584329440
312,3,1617584329443
313,3,1617584329446
314,3,1617584329449
315,3,1617584329452
316,3,1617584329455
317,4,1617584329458
318,3,1617584329462
319,3,1617584329465
320,3,1617584329468
321,3,1617584329471
322,3,1617584329474
323,3,1617584329477
324,3,1617584329481
325,3,1617584329484
326,3,1617584329487
327,3,1617584329490
328,3,1617584329493
329,3,1617584329496
330,9,1617584329500
331,4,1617584329509
332,4,1617584329513
333,4,1617584329517
334,4,1617584329521
335,3,1617584329525
336,4,1617584329528
337,3,1617584329532
338,3,1617584329535
339,4,1617584329538
340,3,1617584329542
341,3,1617584329545
342,3,1617584329548
343,4,1617584329551
344,3,1617584329555
345,3,1617584329558
346,3,1617584329561
347,4,1617584329564
348,3,1617584329568
349,3,1617584329571
350,4,1617584329574
351,3,1617584329578
352,3,1617584329581
353,3,1617584329584
354,4,1617584329587
355,3,1617584329591
356,3,1617584329594
357,3,1617584329597
358,4,1617584329600
359,3,1617584329604
360,3,1617584329607
361,4,1617584329610
362,3,1617584329614
363,3,1617584329617
364,4,1617584329620
365,3,1617584329624
366,4,1617584329627
367,3,1617584329631
368,3,1617584329634
369,4,1617584329637
370,3,1617584329641
371,3,1617584329644
372,4,1617584329647
373,3,1617584329651
374,3,1617584329654
375,4,1617584329657
376,3,1617584329661
377,3,1617584329664
378,3,1617584329667
379,4,1617584329670
380,3,1617584329674
381,4,1617584329677
382,3,1617584329681
383,4,1617584329684
384,3,1617584329688
385,4,1617584329691
386,3,1617584329695
387,3,1617584329698
388,3,1617584329701
389,4,1617584329704
390,3,1617584329708
391,3,1617584329711
392,4,1617584329714
393,3,1617584329718
394,3,1617584329721
395,3,1617584329725
396,4,1617584329728
397,3,1617584329732
398,3,1617584329735
399,3,1617584329738
400,3,1617584329741
401,3,1617584329744
402,4,1617584329747
403,3,1617584329751
404,3,1617584329754
405,3,1617584329757
406,3,1617584329760
407,3,1617584329763
408,3,1617584329766
409,4,1617584329769
410,3,1617584329773
411,3,1617584329776
412,3,1617584329779
413,4,1617584329782
414,5,1617584329786
415,6,1617584329791
416,5,1617584329798
417,4,1617584329803
418,7,1617584329807
419,5,1617584329814
420,5,1617584329819
421,4,1617584329825
422,6,1617584329829
423,4,1617584329835
424,4,1617584329839
425,5,1617584329843
426,4,1617584329848
427,6,1617584329852
428,4,1617584329858
429,4,1617584329862
430,4,1617584329866
431,5,1617584329870
432,4,1617584329875
433,4,1617584329879
434,4,1617584329883
435,4,1617584329887
436,3,1617584329892
437,4,1617584329895
438,4,1617584329899
439,3,1617584329903
440,4,1617584329906
441,4,1617584329910
442,4,1617584329915
443,5,1617584329919
444,4,1617584329924
445,6,1617584329928
446,6,1617584329934
447,4,1617584329940
448,4,1617584329944
449,5,1617584329948
450,5,1617584329953
451,5,1617584329958
452,7,1617584329963
453,5,1617584329970
454,7,1617584329975
455,6,1617584329982
456,5,1617584329988
457,4,1617584329993
458,6,1617584329997
459,4,1617584330003
460,5,1617584330007
461,4,1617584330012
462,3,1617584330016
463,4,1617584330019
464,4,1617584330023
465,3,1617584330027
466,4,1617584330030
467,4,1617584330034
468,5,1617584330038
469,4,1617584330043
470,4,1617584330047
471,3,1617584330051
472,4,1617584330054
473,3,1617584330058
474,4,1617584330061
475,3,1617584330065
476,3,1617584330068
477,3,1617584330071
478,3,1617584330074
479,3,1617584330077
480,4,1617584330080
481,4,1617584330084
482,3,1617584330088
483,3,1617584330091
484,4,1617584330094
485,3,1617584330098
486,3,1617584330101
487,4,1617584330104
488,3,1617584330108
489,3,1617584330111
490,3,1617584330114
491,3,1617584330117
492,4,1617584330120
493,3,1617584330124
494,4,1617584330127
495,3,1617584330131
496,4,1617584330134
497,3,1617584330138
498,4,1617584330141
499,3,1617584330145
500,3,1617584330148
501,3,1617584330151
502,3,1617584330154
503,4,1617584330157
504,3,1617584330161
505,3,1617584330164
506,4,1617584330167
507,3,1617584330171
508,3,1617584330174
509,4,1617584330177
510,3,1617584330181
511,3,1617584330184
512,3,1617584330187
513,4,1617584330190
514,3,1617584330194
515,3,1617584330197
516,3,1617584330200
517,5,1617584330203
518,3,1617584330208
519,4,1617584330211
520,3,1617584330215
521,3,1617584330218
522,3,1617584330221
523,3,1617584330224
524,3,1617584330227
525,3,1617584330230
526,3,1617584330233
527,4,1617584330236
528,3,1617584330240
529,3,1617584330243
530,3,1617584330246
531,4,1617584330249
532,3,1617584330253
533,3,1617584330256
534,3,1617584330259
535,3,1617584330262
536,3,1617584330265
537,3,1617584330268
538,4,1617584330271
539,3,1617584330275
540,3,1617584330278
541,3,1617584330281
542,3,1617584330284
543,3,1617584330287
544,4,1617584330290
545,3,1617584330294
546,3,1617584330297
547,3,1617584330300
548,3,1617584330303
549,3,1617584330306
550,4,1617584330309
551,3,1617584330313
552,3,1617584330316
553,3,1617584330319
554,3,1617584330322
555,3,1617584330325
556,3,1617584330328
557,3,1617584330331
558,3,1617584330334
559,4,1617584330337
560,3,1617584330341
561,4,1617584330344
562,3,1617584330348
563,3,1617584330351
564,4,1617584330354
565,3,1617584330358
566,3,1617584330361
567,3,1617584330364
568,4,1617584330367
569,3,1617584330371
570,3,1617584330374
571,3,1617584330377
572,4,1617584330380
573,3,1617584330384
574,3,1617584330387
575,3,1617584330390
576,3,1617584330393
577,3,1617584330396
578,4,1617584330399
579,3,1617584330403
580,3,1617584330406
581,3,1617584330409
582,3,1617584330412
583,4,1617584330415
584,3,1617584330419
585,3,1617584330422
586,3,1617584330425
587,4,1617584330428
588,3,1617584330432
589,3,1617584330435
590,4,1617584330438
591,3,1617584330442
592,3,1617584330445
593,4,1617584330448
594,3,1617584330452
595,5,1617584330455
596,3,1617584330460
597,4,1617584330463
598,3,1617584330467
599,4,1617584330470
600,3,1617584330474
601,3,1617584330477
602,3,1617584330480
603,3,1617584330483
604,4,1617584330486
605,3,1617584330490
606,3,1617584330493
607,4,1617584330496
608,3,1617584330500
609,4,1617584330503
610,3,1617584330507
611,4,1617584330510
612,3,1617584330514
613,4,1617584330517
614,3,1617584330521
615,3,1617584330524
616,3,1617584330527
617,3,1617584330530
618,3,1617584330533
619,3,1617584330536
620,3,1617584330540
621,3,1617584330543
622,4,1617584330546
623,3,1617584330550
624,9,1617584330553
625,6,1617584330562
626,5,1617584330568
627,3,1617584330573
628,3,1617584330576
629,4,1617584330579
630,3,1617584330583
631,3,1617584330586
632,4,1617584330589
633,3,1617584330593
634,3,1617584330596
635,3,1617584330599
636,3,1617584330602
637,3,1617584330605
638,4,1617584330608
639,3,1617584330612
640,4,1617584330615
641,3,1617584330619
642,4,1617584330622
643,3,1617584330626
644,4,1617584330629
645,3,1617584330633
646,3,1617584330636
647,3,1617584330639
648,4,1617584330642
649,3,1617584330646
650,3,1617584330649
651,3,1617584330652
652,3,1617584330655
653,3,1617584330658
654,3,1617584330661
655,3,1617584330664
656,4,1617584330667
657,3,1617584330671
658,3,1617584330675
659,3,1617584330678
660,3,1617584330681
661,3,1617584330684
662,3,1617584330687
663,3,1617584330690
664,3,1617584330693
665,4,1617584330696
666,3,1617584330700
667,3,1617584330703
668,3,1617584330706
669,3,1617584330709
670,4,1617584330712
671,3,1617584330716
672,3,1617584330719
673,3,1617584330722
674,3,1617584330725
675,3,1617584330728
676,4,1617584330731
677,3,1617584330735
678,3,1617584330738
679,3,1617584330741
680,3,1617584330744
681,4,1617584330747
682,3,1617584330751
683,3,1617584330754
684,3,1617584330757
685,3,1617584330760
686,4,1617584330763
687,3,1617584330767
688,3,1617584330770
689,2,1617584330773
690,4,1617584330775
691,3,1617584330779
692,3,1617584330782
693,3,1617584330785
694,4,1617584330788
695,3,1617584330792
696,3,1617584330795
697,4,1617584330798
698,3,1617584330802
699,3,1617584330805
700,3,1617584330808
701,3,1617584330811
702,4,1617584330814
703,3,1617584330818
704,3,1617584330821
705,3,1617584330824
706,3,1617584330827
707,3,1617584330830
708,3,1617584330833
709,4,1617584330836
710,3,1617584330840
711,3,1617584330843
712,3,1617584330846
713,4,1617584330849
714,3,1617584330853
715,3,1617584330856
716,3,1617584330859
717,4,1617584330862
718,3,1617584330866
719,3,1617584330869
720,4,1617584330872
721,3,1617584330876
722,4,1617584330879
723,3,1617584330883
724,3,1617584330886
725,3,1617584330889
726,3,1617584330892
727,4,1617584330895
728,3,1617584330899
729,3,1617584330902
730,3,1617584330905
731,3,1617584330908
732,4,1617584330911
733,3,1617584330915
734,4,1617584330918
735,3,1617584330922
736,4,1617584330925
737,3,1617584330929
738,3,1617584330932
739,3,1617584330935
740,3,1617584330938
741,3,1617584330941
742,3,1617584330944
743,3,1617584330947
744,3,1617584330950
745,3,1617584330953
746,3,1617584330956
747,3,1617584330959
748,3,1617584330962
749,3,1617584330965
750,3,1617584330968
751,3,1617584330971
752,3,1617584330974
753,3,1617584330977
754,3,1617584330980
755,3,1617584330983
756,3,1617584330986
757,3,1617584330989
758,3,1617584330992
759,3,1617584330995
760,4,1617584330998
761,3,1617584331002
762,3,1617584331005
763,3,1617584331008
764,3,1617584331011
765,3,1617584331014
766,4,1617584331017
767,3,1617584331021
768,3,1617584331024
769,2,1617584331027
770,3,1617584331029
771,3,1617584331032
772,3,1617584331035
773,3,1617584331038
774,3,1617584331041
775,4,1617584331044
776,3,1617584331048
777,3,1617584331051
778,3,1617584331054
779,3,1617584331057
780,3,1617584331060
781,3,1617584331063
782,3,1617584331066
783,3,1617584331069
784,3,1617584331072
785,3,1617584331075
786,3,1617584331078
787,3,1617584331081
788,3,1617584331084
789,3,1617584331087
790,3,1617584331090
791,3,1617584331093
792,3,1617584331096
793,3,1617584331099
794,3,1617584331102
795,3,1617584331105
796,3,1617584331108
797,3,1617584331111
798,3,1617584331114
799,3,1617584331117
800,3,1617584331120
801,3,1617584331123
802,3,1617584331126
803,3,1617584331129
804,3,1617584331132
805,3,1617584331135
806,4,1617584331138
807,3,1617584331142
808,3,1617584331145
809,3,1617584331148
810,3,1617584331151
811,3,1617584331154
812,3,1617584331157
813,3,1617584331160
814,3,1617584331163
815,4,1617584331166
816,4,1617584331170
817,3,1617584331174
818,3,1617584331177
819,4,1617584331180
820,3,1617584331184
821,4,1617584331187
822,4,1617584331191
823,3,1617584331195
824,3,1617584331198
825,3,1617584331201
826,4,1617584331204
827,3,1617584331208
828,4,1617584331211
829,3,1617584331215
830,4,1617584331219
831,3,1617584331223
832,5,1617584331226
833,4,1617584331231
834,4,1617584331235
835,4,1617584331239
836,3,1617584331243
837,4,1617584331246
838,3,1617584331250
839,4,1617584331253
840,3,1617584331257
841,4,1617584331260
842,3,1617584331264
843,3,1617584331267
844,3,1617584331270
845,3,1617584331273
846,4,1617584331276
847,3,1617584331280
848,3,1617584331283
849,3,1617584331286
850,3,1617584331289
851,3,1617584331292
852,4,1617584331295
853,3,1617584331299
854,4,1617584331302
855,3,1617584331306
856,3,1617584331309
857,3,1617584331312
858,3,1617584331315
859,3,1617584331318
860,3,1617584331321
861,4,1617584331324
862,3,1617584331328
863,3,1617584331331
864,3,1617584331334
865,4,1617584331337
866,3,1617584331341
867,4,1617584331344
868,3,1617584331348
869,3,1617584331351
870,3,1617584331354
871,3,1617584331357
872,3,1617584331360
873,3,1617584331363
874,3,1617584331366
875,3,1617584331369
876,4,1617584331372
877,3,1617584331376
878,4,1617584331379
879,3,1617584331383
880,4,1617584331386
881,3,1617584331390
882,4,1617584331393
883,3,1617584331397
884,3,1617584331400
885,4,1617584331403
886,3,1617584331407
887,3,1617584331411
888,3,1617584331414
889,4,1617584331417
890,3,1617584331421
891,3,1617584331424
892,4,1617584331427
893,3,1617584331431
894,3,1617584331434
895,3,1617584331437
896,3,1617584331440
897,3,1617584331443
898,3,1617584331446
899,3,1617584331449
900,3,1617584331452
901,3,1617584331455
902,4,1617584331458
903,3,1617584331462
904,3,1617584331465
905,3,1617584331468
906,3,1617584331471
907,3,1617584331474
908,3,1617584331477
909,3,1617584331480
910,3,1617584331483
911,3,1617584331486
912,3,1617584331489
913,3,1617584331492
914,3,1617584331495
915,3,1617584331498
916,3,1617584331501
917,3,1617584331504
918,3,1617584331507
919,3,1617584331510
920,3,1617584331513
921,3,1617584331516
922,3,1617584331519
923,3,1617584331522
924,3,1617584331525
925,3,1617584331528
926,4,1617584331531
927,3,1617584331535
928,3,1617584331538
929,3,1617584331541
930,3,1617584331544
931,3,1617584331547
932,3,1617584331550
933,4,1617584331553
934,3,1617584331557
935,3,1617584331560
936,3,1617584331563
937,3,1617584331566
938,2,1617584331569
939,3,1617584331572
940,3,1617584331575
941,3,1617584331578
942,3,1617584331581
943,4,1617584331584
944,3,1617584331588
945,3,1617584331591
946,3,1617584331594
947,3,1617584331597
948,4,1617584331600
949,3,1617584331604
950,3,1617584331607
951,3,1617584331610
952,4,1617584331613
953,3,1617584331617
954,3,1617584331620
955,3,1617584331623
956,4,1617584331626
957,3,1617584331630
958,3,1617584331633
959,3,1617584331636
960,3,1617584331639
961,3,1617584331642
962,3,1617584331645
963,4,1617584331648
964,3,1617584331652
965,3,1617584331655
966,3,1617584331658
967,3,1617584331661
968,4,1617584331664
969,4,1617584331668
970,3,1617584331672
971,3,1617584331675
972,3,1617584331678
973,3,1617584331681
974,4,1617584331684
975,3,1617584331688
976,3,1617584331691
977,3,1617584331694
978,3,1617584331697
979,3,1617584331700
980,3,1617584331703
981,4,1617584331706
982,3,1617584331710
983,3,1617584331713
984,3,1617584331716
985,3,1617584331719
986,3,1617584331722
987,3,1617584331725
988,4,1617584331728
989,3,1617584331732
990,3,1617584331735
991,4,1617584331738
992,3,1617584331742
993,3,1617584331745
994,3,1617584331748
995,4,1617584331751
996,3,1617584331755
997,3,1617584331758
998,3,1617584331761
999,3,1617584331764
1000,3,1617584331767
1001,3,1617584331770
1002,3,1617584331773
1003,4,1617584331776
1004,3,1617584331780
1005,3,1617584331783
1006,3,1617584331786
1007,4,1617584331789
1008,3,1617584331793
1009,4,1617584331796
1010,3,1617584331800
1011,3,1617584331803
1012,3,1617584331806
1013,3,1617584331809
1014,4,1617584331812
1015,3,1617584331816
1016,3,1617584331819
1017,4,1617584331822
1018,3,1617584331826
1019,4,1617584331829
1020,3,1617584331833
1021,4,1617584331836
1022,3,1617584331840
1023,3,1617584331843
1024,4,1617584331846
1025,3,1617584331850
1026,3,1617584331853
1027,3,1617584331856
1028,4,1617584331859
1029,3,1617584331863
1030,3,1617584331866
1031,4,1617584331869
1032,4,1617584331873
1033,3,1617584331877
1034,4,1617584331880
1035,3,1617584331884
1036,3,1617584331887
1037,3,1617584331890
1038,4,1617584331893
1039,3,1617584331897
1040,3,1617584331900
1041,3,1617584331903
1042,3,1617584331907
1043,3,1617584331910
1044,4,1617584331913
1045,3,1617584331917
1046,4,1617584331920
1047,3,1617584331924
1048,3,1617584331927
1049,3,1617584331930
1050,4,1617584331933
1051,3,1617584331937
1052,3,1617584331940
1053,3,1617584331943
1054,3,1617584331946
1055,4,1617584331949
1056,3,1617584331953
1057,3,1617584331956
1058,3,1617584331959
1059,3,1617584331962
1060,3,1617584331965
1061,3,1617584331968
1062,4,1617584331971
1063,3,1617584331975
1064,3,1617584331978
1065,9,1617584331981
1066,3,1617584331990
1067,3,1617584331993
1068,4,1617584331996
1069,3,1617584332000
1070,4,1617584332003
1071,3,1617584332007
1072,3,1617584332010
1073,3,1617584332013
1074,4,1617584332016
1075,3,1617584332020
1076,3,1617584332023
1077,3,1617584332026
1078,4,1617584332029
1079,3,1617584332033
1080,3,1617584332036
1081,3,1617584332039
1082,4,1617584332042
1083,3,1617584332046
1084,3,1617584332049
1085,4,1617584332052
1086,3,1617584332056
1087,3,1617584332059
1088,4,1617584332062
1089,3,1617584332066
1090,3,1617584332069
1091,4,1617584332072
1092,2,1617584332076
1093,3,1617584332078
1094,3,1617584332082
1095,3,1617584332085
1096,3,1617584332088
1097,3,1617584332091
1098,4,1617584332094
1099,3,1617584332098
1100,4,1617584332101
1101,3,1617584332105
1102,4,1617584332108
1103,3,1617584332112
1104,3,1617584332115
1105,3,1617584332118
1106,3,1617584332121
1107,3,1617584332124
1108,4,1617584332127
1109,3,1617584332131
1110,3,1617584332134
1111,3,1617584332137
1112,4,1617584332140
1113,3,1617584332144
1114,3,1617584332147
1115,3,1617584332150
1116,3,1617584332153
1117,3,1617584332156
1118,3,1617584332159
1119,4,1617584332162
1120,3,1617584332166
1121,3,1617584332169
1122,3,1617584332172
1123,4,1617584332175
1124,3,1617584332179
1125,3,1617584332182
1126,5,1617584332185
1127,6,1617584332190
1128,4,1617584332196
1129,3,1617584332200
1130,4,1617584332203
1131,3,1617584332207
1132,3,1617584332210
1133,3,1617584332213
1134,3,1617584332216
1135,4,1617584332219
1136,3,1617584332223
1137,4,1617584332226
1138,3,1617584332230
1139,4,1617584332233
1140,3,1617584332237
1141,3,1617584332240
1142,4,1617584332243
1143,3,1617584332247
1144,5,1617584332250
1145,3,1617584332255
1146,3,1617584332258
1147,4,1617584332261
1148,3,1617584332265
1149,4,1617584332268
1150,3,1617584332272
1151,4,1617584332275
1152,3,1617584332279
1153,4,1617584332282
1154,3,1617584332286
1155,3,1617584332289
1156,4,1617584332292
1157,3,1617584332296
1158,4,1617584332299
1159,3,1617584332303
1160,3,1617584332306
1161,4,1617584332309
1162,3,1617584332313
1163,3,1617584332316
1164,3,1617584332319
1165,4,1617584332322
1166,3,1617584332326
1167,4,1617584332329
1168,3,1617584332333
1169,5,1617584332336
1170,3,1617584332341
1171,3,1617584332344
1172,4,1617584332347
1173,3,1617584332351
1174,3,1617584332354
1175,4,1617584332357
1176,3,1617584332361
1177,7,1617584332364
1178,3,1617584332371
1179,3,1617584332374
1180,3,1617584332377
1181,3,1617584332380
1182,3,1617584332383
1183,4,1617584332386
1184,3,1617584332390
1185,3,1617584332393
1186,3,1617584332397
1187,3,1617584332400
1188,3,1617584332403
1189,4,1617584332406
1190,3,1617584332410
1191,3,1617584332413
1192,3,1617584332416
1193,4,1617584332419
1194,3,1617584332423
1195,3,1617584332426
1196,3,1617584332429
1197,3,1617584332432
1198,3,1617584332435
1199,3,1617584332438
1200,3,1617584332441
1201,3,1617584332444
1202,4,1617584332447
1203,3,1617584332451
1204,3,1617584332454
1205,4,1617584332457
1206,3,1617584332461
1207,3,1617584332464
1208,3,1617584332467
1209,3,1617584332471
1210,3,1617584332474
1211,3,1617584332477
1212,3,1617584332480
1213,4,1617584332483
1214,3,1617584332487
1215,3,1617584332490
1216,3,1617584332493
1217,4,1617584332496
1218,3,1617584332500
1219,3,1617584332503
1220,3,1617584332506
1221,4,1617584332509
1222,3,1617584332513
1223,3,1617584332516
1224,3,1617584332519
1225,3,1617584332522
1226,4,1617584332525
1227,2,1617584332529
1228,4,1617584332531
1229,3,1617584332535
1230,3,1617584332538
1231,4,1617584332541
1232,4,1617584332545
1233,6,1617584332549
1234,6,1617584332555
1235,5,1617584332561
1236,6,1617584332566
1237,5,1617584332572
1238,7,1617584332577
1239,5,1617584332584
1240,5,1617584332590
1241,6,1617584332595
1242,6,1617584332601
1243,6,1617584332607
1244,6,1617584332613
1245,5,1617584332619
1246,5,1617584332624
1247,4,1617584332629
1248,4,1617584332633
1249,4,1617584332637
1250,3,1617584332641
1251,4,1617584332644
1252,4,1617584332648
1253,4,1617584332652
1254,5,1617584332656
1255,5,1617584332661
1256,5,1617584332666
1257,4,1617584332671
1258,3,1617584332675
1259,4,1617584332678
1260,4,1617584332682
1261,4,1617584332686
1262,3,1617584332690
1263,4,1617584332693
1264,4,1617584332697
1265,4,1617584332701
1266,4,1617584332705
1267,3,1617584332709
1268,4,1617584332712
1269,4,1617584332716
1270,4,1617584332720
1271,4,1617584332724
1272,4,1617584332728
1273,3,1617584332732
1274,4,1617584332735
1275,4,1617584332739
1276,4,1617584332743
1277,4,1617584332747
1278,3,1617584332751
1279,4,1617584332754
1280,3,1617584332758
1281,4,1617584332761
1282,3,1617584332765
1283,4,1617584332768
1284,3,1617584332772
1285,3,1617584332775
1286,4,1617584332778
1287,3,1617584332782
1288,3,1617584332785
1289,4,1617584332788
1290,3,1617584332792
1291,3,1617584332795
1292,3,1617584332798
1293,4,1617584332801
1294,4,1617584332805
1295,3,1617584332809
1296,3,1617584332812
1297,4,1617584332815
1298,3,1617584332819
1299,4,1617584332822
1300,4,1617584332826
1301,3,1617584332830
1302,4,1617584332833
1303,4,1617584332837
1304,3,1617584332841
1305,3,1617584332844
1306,3,1617584332848
1307,3,1617584332851
1308,3,1617584332854
1309,3,1617584332857
1310,3,1617584332860
1311,4,1617584332863
1312,3,1617584332867
1313,4,1617584332870
1314,3,1617584332874
1315,4,1617584332877
1316,3,1617584332881
1317,4,1617584332884
1318,5,1617584332888
1319,4,1617584332893
1320,5,1617584332897
1321,4,1617584332902
1322,3,1617584332906
1323,4,1617584332909
1324,3,1617584332913
1325,4,1617584332916
1326,4,1617584332920
1327,3,1617584332924
1328,4,1617584332927
1329,3,1617584332931
1330,4,1617584332934
1331,3,1617584332938
1332,3,1617584332942
1333,4,1617584332945
1334,3,1617584332949
1335,3,1617584332952
1336,3,1617584332955
1337,4,1617584332958
1338,3,1617584332962
1339,3,1617584332965
1340,4,1617584332968
1341,3,1617584332972
1342,4,1617584332975
1343,3,1617584332979
1344,3,1617584332982
1345,3,1617584332985
1346,3,1617584332988
1347,4,1617584332991
1348,3,1617584332995
1349,4,1617584332998
1350,3,1617584333002
1351,3,1617584333005
1352,4,1617584333008
1353,3,1617584333012
1354,3,1617584333015
1355,4,1617584333018
1356,3,1617584333022
1357,4,1617584333025
1358,3,1617584333029
